Column1,Year,NUTS ID,Country code,Name (latin characters),Yearly PM 2.5 average (µg/m³),Population estimate (GHSL 2020),0–5µg/m³ - population,5–10µg/m³ - population,10–15µg/m³ - population,15–20µg/m³ - population,20–25µg/m³ - population,25+ µg/m³ - population,0–5µg/m³ - percentage,5–10µg/m³ - percentage,10–15µg/m³ - percentage,15–20µg/m³ - percentage,20–25µg/m³ - percentage,25+ µg/m³ - percentage
0,2018,FR,FR,France,8.115917,63026742,89203,38248345,24689193,0,0,0,0.001415322,0.606858999,0.391725678,0,0,0
1,2019,FR,FR,France,8.010881,63026742,43901,39335096,23647745,0,0,0,0.000696552,0.624101685,0.375201763,0,0,0
2,2020,FR,FR,France,7.1431255,63026742,201984,57924834,4899923,0,0,0,0.003204742,0.919051705,0.077743553,0,0,0
3,2021,FR,FR,France,7.549029,63026742,164288,49804997,13057457,0,0,0,0.002606634,0.790220085,0.207173281,0,0,0
4,2022,FR,FR,France,7.7033634,63026742,11839,46227587,16787315,0,0,0,0.000187846,0.733459893,0.266352261,0,0,0
5,2018,HR,HR,Hrvatska,11.57981,3888381,0,1029116,1945576,913689,0,0,0,0.264664374,0.5003563,0.234979325,0,0
6,2019,HR,HR,Hrvatska,11.54869,3888381,0,829587,1542437,1516356,0,0,0,0.213350244,0.396678608,0.389971148,0,0
7,2020,HR,HR,Hrvatska,10.866296,3888381,0,739340,1788017,1361024,0,0,0,0.190140833,0.459835846,0.350023321,0,0
8,2021,HR,HR,Hrvatska,10.12342,3888381,0,1162258,2726123,0,0,0,0,0.29890539,0.70109461,0,0,0
9,2022,HR,HR,Hrvatska,10.416522,3888381,0,889184,2234784,764412,0,0,0,0.228677231,0.574733954,0.196588814,0,0
10,2018,HU,HU,Magyarország,14.074904,9732212,0,0,6555606,3176606,0,0,0,0,0.673598792,0.326401208,0,0
11,2019,HU,HU,Magyarország,15.155132,9732212,0,0,2706818,7025394,0,0,0,0,0.278129772,0.721870228,0,0
12,2020,HU,HU,Magyarország,12.61615,9732212,0,2606,7464256,2265349,0,0,0,0.000267784,0.766964009,0.232768207,0,0
13,2021,HU,HU,Magyarország,12.541868,9732212,0,2096,8504225,1225890,0,0,0,0.000215413,0.873822465,0.125962122,0,0
14,2022,HU,HU,Magyarország,11.815008,9732212,0,36246,9695965,0,0,0,0,0.00372438,0.99627562,0,0,0
15,2018,AL,AL,Shqipëria,8.926226,2740546,0,1777882,962665,0,0,0,0,0.64873256,0.35126744,0,0,0
16,2019,AL,AL,Shqipëria,10.979506,2740546,0,103224,2525788,111534,0,0,0,0.037665453,0.921636721,0.040697827,0,0
17,2020,AL,AL,Shqipëria,10.404238,2740546,0,340664,2012085,387798,0,0,0,0.124305048,0.734191093,0.141503858,0,0
18,2021,AL,AL,Shqipëria,8.912175,2740546,0,1162725,1577821,0,0,0,0,0.42426773,0.57573227,0,0,0
19,2022,AL,AL,Shqipëria,9.386591,2740546,0,663277,2077269,0,0,0,0,0.242023801,0.757976199,0,0,0
20,2018,AT,AT,Österreich,10.007743,9012682,29023,2084909,4670934,2227816,0,0,0.003220202,0.231330615,0.518262393,0.24718679,0,0
21,2019,AT,AT,Österreich,8.585129,9012682,45401,3346875,5620406,0,0,0,0.005037505,0.371351695,0.623610799,0,0,0
22,2020,AT,AT,Österreich,7.818456,9012682,72143,4974572,3965967,0,0,0,0.008004633,0.551952414,0.440042953,0,0,0
23,2021,AT,AT,Österreich,8.12629,9012682,105111,4251125,4656445,0,0,0,0.011662578,0.471682616,0.516654806,0,0,0
24,2022,AT,AT,Österreich,8.048601,9012682,62705,4253061,4696915,0,0,0,0.006957439,0.471897413,0.521145148,0,0,0
25,2018,BE,BE,Belgique/België,10.931945,11524007,0,893632,10630375,0,0,0,0,0.077545266,0.922454734,0,0,0
26,2019,BE,BE,Belgique/België,10.149776,11524007,0,1733552,9790456,0,0,0,0,0.150429582,0.849570418,0,0,0
27,2020,BE,BE,Belgique/België,8.383292,11524007,0,6343798,5180209,0,0,0,0,0.550485442,0.449514558,0,0,0
28,2021,BE,BE,Belgique/België,9.789069,11524007,0,2147882,9376125,0,0,0,0,0.186383293,0.813616707,0,0,0
29,2022,BE,BE,Belgique/België,9.40833,11524007,0,3884447,7639560,0,0,0,0,0.337074368,0.662925632,0,0,0
30,2018,BG,BG,Bulgaria,10.3607235,6808222,0,1420274,5387948,0,0,0,0,0.208611592,0.791388408,0,0,0
31,2019,BG,BG,Bulgaria,13.188638,6808222,0,223384,3680311,2904527,0,0,0,0.032810988,0.540568561,0.426620451,0,0
32,2020,BG,BG,Bulgaria,11.085887,6808222,0,465470,4726705,1616046,0,0,0,0.068368867,0.694264306,0.237366826,0,0
33,2021,BG,BG,Bulgaria,10.041772,6808222,0,1830434,4977788,0,0,0,0,0.268856415,0.731143585,0,0,0
34,2022,BG,BG,Bulgaria,9.327662,6808222,0,2701825,4106396,0,0,0,0,0.39684745,0.60315255,0,0,0
35,2018,CH,CH,Schweiz/Suisse/Svizzera,7.5355062,8340425,114997,3868518,4356911,0,0,0,0.013787896,0.463827386,0.522384718,0,0,0
36,2019,CH,CH,Schweiz/Suisse/Svizzera,6.8368897,8340425,225733,6930266,1138680,45746,0,0,0.027064981,0.830924759,0.136525355,0.005484905,0,0
37,2020,CH,CH,Schweiz/Suisse/Svizzera,6.4668794,8340425,238067,7871811,184801,45746,0,0,0.028543741,0.943814083,0.02215727,0.005484905,0,0
38,2021,CH,CH,Schweiz/Suisse/Svizzera,6.481055,8340425,289656,7854795,195975,0,0,0,0.034729126,0.941773905,0.02349697,0,0,0
39,2022,CH,CH,Schweiz/Suisse/Svizzera,6.6645403,8340425,138741,7864737,291201,45746,0,0,0.016634768,0.942965954,0.034914373,0.005484905,0,0
40,2018,CY,CY,Kýpros,11.514825,991254,0,0,991254,0,0,0,0,0,1,0,0,0
41,2019,CY,CY,Kýpros,13.903004,991254,0,0,900784,90470,0,0,0,0,0.908731349,0.091268651,0,0
42,2020,CY,CY,Kýpros,11.408726,991254,0,0,991254,0,0,0,0,0,1,0,0,0
43,2021,CY,CY,Kýpros,9.019322,991254,0,975484,15770,0,0,0,0,0.98409044,0.01590956,0,0,0
44,2022,CY,CY,Kýpros,9.876121,991254,0,275869,715385,0,0,0,0,0.278303124,0.721696876,0,0,0
45,2018,CZ,CZ,Česko,15.076782,10574859,0,3584,3332157,6176726,632925,429468,0,0.00033894,0.315101781,0.58409531,0.059851843,0.040612126
46,2019,CZ,CZ,Česko,12.503988,10574859,0,619318,7531687,2009034,414819,0,0,0.058565158,0.712225777,0.189982128,0.039226937,0
47,2020,CZ,CZ,Česko,10.806188,10574859,0,2091156,7694219,789485,0,0,0,0.197747862,0.727595345,0.074656793,0,0
48,2021,CZ,CZ,Česko,11.433629,10574859,0,1026682,8451861,1096316,0,0,0,0.097087092,0.799240947,0.103671961,0,0
49,2022,CZ,CZ,Česko,10.892933,10574859,0,1647070,8217859,709930,0,0,0,0.155753385,0.777112881,0.067133735,0,0
50,2018,DE,DE,Deutschland,10.780147,82776266,0,12362538,70388090,25639,0,0,0,0.149348819,0.850341442,0.00030974,0,0
