"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","AUS","Australia","2018","2018",397110,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","AUS","Australia","2019","2019",357153,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","AUS","Australia","2020","2020",295187,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","AUS","Australia","2018","2018",1590.6,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","AUS","Australia","2019","2019",1409.4,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","AUS","Australia","2020","2020",1150.6,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","AUT","Austria","2018","2018",146687,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","AUT","Austria","2019","2019",145134,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","AUT","Austria","2020","2020",101578,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","AUT","Austria","2021","2021",93198,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","AUT","Austria","2018","2018",1659.3,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","AUT","Austria","2019","2019",1634.4,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","AUT","Austria","2020","2020",1139.2,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","AUT","Austria","2021","2021",1040.6,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","BEL","Belgium","2018","2018",160463,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","BEL","Belgium","2019","2019",157455,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","BEL","Belgium","2020","2020",142700,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","BEL","Belgium","2021","2021",149789,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","BEL","Belgium","2018","2018",1404.2,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","BEL","Belgium","2019","2019",1370.5,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","BEL","Belgium","2020","2020",1236.7,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","BEL","Belgium","2021","2021",1292.8,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","CAN","Canada","2018","2018",275790,,
